,Manufacturer,Category,Screen Size,Screen,RAM,Operating System,Operating System Version,Weight,Price,Core,Generation,Freq,AMD,Intel,Samsung
0,1,notebook,15.6,1366x768,6,Windows,10,2.04kg,5148468.0,i7,7500U,2.7GHz,False,True,False
1,2,gaming,17.3,1920x1080,16,Windows,10,2.99kg,15552108.0,i7,7700HQ,2.8GHz,False,True,False
2,3,2 in 1 convertible,15.6,1920x1080,12,Windows,10,2.19kg,11550708.0,i7,7500U,2.7GHz,False,True,False
3,4,notebook,13.3,1920x1080,4,Windows,7,1.2kg,10625940.0,i5,6200U,2.3GHz,False,True,False
4,12,notebook,15.6,1920x1080,6,Windows,10,2.2kg,4881708.0,A12-Series,9720P,3.6GHz,True,False,False
5,5,notebook,15.6,1366x768,4,Windows,10,2.3kg,5770908.0,i5,6200U,2.3GHz,False,True,False
6,4,notebook,14.0,1366x768,4,Windows,10,1.75kg,8136180.0,i5,6200U,2.3GHz,False,True,False
7,3,notebook,15.6,1366x768,4,Windows,10,2.25kg,5326308.0,i5,7200U,2.5GHz,False,True,False
8,1,notebook,15.6,1920x1080,8,Windows,10,2.04kg,7166952.0,i5,7200U,2.5GHz,False,True,False
9,12,gaming,15.6,1920x1080,8,Windows,10,2.5kg,10572588.0,i7,7700HQ,2.8GHz,False,True,False
10,3,notebook,15.6,1366x768,8,Windows,10,2.36kg,6660108.0,i7,7500U,2.7GHz,False,True,False
11,3,notebook,14.0,1920x1080,8,Windows,10,1.6kg,9950148.0,i5,7200U,2.5GHz,False,True,False
12,1,netbook,12.5,1920x1080,8,Windows,10,0.97kg,16965936.0,M,6Y75,1.2GHz,False,True,False
13,1,notebook,15.6,1920x1080,4,Windows,10,2.1kg,4437108.0,i3,6006U,2GHz,False,True,False
14,12,notebook,15.6,1366x768,4,Windows,,1.9kg,2406353.04,Core,N3350,1.1GHz,False,True,False
15,12,notebook,15.6,1920x1080,8,Windows,10,2.3kg,11995308.0,i5,6200U,2.3GHz,False,True,False
16,3,2 in 1 convertible,13.3,1920x1080,8,Windows,10,1.68kg,7904988.0,i5,7200U,2.5GHz,False,True,False
17,2,notebook,13.3,3200x1800,8,Windows,10,1.4kg,10225800.0,i5,7200U,2.5GHz,False,True,False
18,1,ultrabook,13.3,1920x1080,8,Windows,10,1.11kg,11995308.0,i7,7500U,2.7GHz,False,True,False
19,6,notebook,15.6,1366x768,4,Windows,10,2.4kg,3378960.0,Core,N4200,1.1GHz,False,True,False
20,2,gaming,15.6,1920x1080,16,Windows,10,2.5kg,15996708.0,i7,7700HQ,2.8GHz,False,True,False
21,1,ultrabook,14.0,1920x1080,8,Windows,10,1.48kg,18575388.0,i7,7500U,2.7GHz,False,True,False
22,6,gaming,15.6,1920x1080,8,Windows,10,2.7kg,11203920.0,i7,7700HQ,2.8GHz,False,True,False
23,1,notebook,13.3,1920x1080,8,Windows,10,1.34kg,10572588.0,i5,7200U,2.5GHz,False,True,False
24,3,notebook,15.6,1366x768,4,Windows,10,2.18kg,4863924.0,i3,7100U,2.4GHz,False,True,False
25,1,notebook,14.0,1366x768,4,Windows,10,1.64kg,6926868.0,i5,7200U,2.5GHz,False,True,False
26,4,notebook,13.3,1920x1080,4,Windows,10,1.2kg,10625940.0,i5,6200U,2.3GHz,False,True,False
27,1,notebook,14.0,1366x768,4,Windows,10,1.48kg,9781111.08,i5,6300U,2.4GHz,False,True,False
