make,city,year,engine_cc,fuel_type,transmission,mileage_km,price_pkr
Suzuki,Faisalabad,2018,1500,Diesel,Manual,84808.0,2797000.0
Toyota,Lahore,2019,1500,Diesel,Automatic,61988.0,3182000.0
Hyundai,Karachi,2022,1000,Diesel,Manual,46932.0,3314000.0
Toyota,Islamabad,2010,1000,Petrol,Automatic,180650.0,916000.0
Suzuki,Faisalabad,2010,1800,Petrol,Manual,216787.0,1182000.0
Hyundai,Karachi,2020,1000,Petrol,Automatic,76695.0,2972000.0
Toyota,Peshawar,2013,1500,Diesel,Automatic,150394.0,
Suzuki,Islamabad,2020,1800,Petrol,Automatic,55469.0,3657000.0
HONDA,Multan,2013,1000,Petrol,Automatic,161998.0,1254000.0
Kia,Multan,2015,1000,Diesel,Manual,117272.0,1347000.0
Toyota,Karachi,2019,1500,Petrol,Automatic,84930.0,2939000.0
Honda,Lahore,2017,1300,Petrol,Manual,72549.0,2470000.0
Suzuki,Karachi,2022,1500,Petrol,Manual,,2901000.0
Toyota,Islamabad,2017,1500,Diesel,Automatic,117255.0,3313000.0
Suzuki,Multan,2008,660,Diesel,Automatic,360988.0,350000.0
Toyota,Peshawar,2007,1500,Petrol,Automatic,227540.0,877000.0
Suzuki,Lahore,2018,1300,Petrol,Manual,68228.0,1883000.0
Toyota,Multan,2008,1500,Diesel,Manual,208382.0,350000.0
Hyundai,Faisalabad,2011,1000,Diesel,Manual,163486.0,350000.0
Toyota,Lahore,2013,660,Hybrid,Automatic,209556.0,919000.0
Nissan,Faisalabad,2008,660,Petrol,Automatic,240501.0,350000.0
NISSAN,Multan,2010,1000,Diesel,Manual,,422000.0
Honda,Islamabad,2009,1500,Petrol,Manual,261022.0,737000.0
Honda,Karachi,2014,1500,Petrol,Automatic,71575.0,2030000.0
Hyundai,Peshawar,2011,1300,Petrol,Automatic,189591.0,802000.0
Suzuki,Lahore,2015,1500,Petrol,Manual,166657.0,901000.0
Honda,Multan,2020,660,Petrol,Automatic,80002.0,2423000.0
Toyota,Peshawar,2012,1300,Petrol,Manual,219873.0,778000.0
Kia,Multan,2018,1300,Petrol,Manual,111534.0,2054000.0
Honda,Peshawar,2011,660,Petrol,Automatic,153391.0,736000.0
Honda,Islamabad,2021,660,Petrol,Manual,,
Toyota,Multan,2019,1000,Petrol,Manual,56627.0,2268000.0
Toyota,Multan,2016,660,Petrol,Manual,69542.0,1337000.0
Kia,Faisalabad,2006,660,Diesel,Manual,332906.0,350000.0
