bedrooms,bathrooms,sqft_living,sqft_lot,floors,age,condition,grade,loc_score,price
1,0.5,1167,7946,1.0,24,5,7,-0.575,715000.0
5,4.0,2023,6646,1.0,75,5,6,-0.846,858000.0
4,2.5,1078,5466,2.0,33,3,12,-1.138,971000.0
3,2.0,1020,5174,1.0,83,1,10,0.529,620000.0
3,2.5,1976,10704,1.5,46,4,5,-0.135,833000.0
6,5.0,2480,4614,1.0,57,1,5,0.055,910000.0
1,1.0,625,1623,1.0,18,5,4,1.275,586000.0
5,4.0,2743,6988,1.0,89,2,6,1.332,1041000.0
2,2.0,1580,5472,1.0,17,4,9,-1.646,799000.0
1,1.0,857,2093,1.0,2,4,12,0.648,834000.0
4,3.5,1812,13576,1.0,39,3,8,0.226,894000.0
6,5.5,2560,12376,2.0,75,5,4,-0.462,969000.0
5,4.0,2318,12872,2.0,82,4,4,0.328,866000.0
5,5.5,2730,10439,2.0,77,5,7,-1.726,1052000.0
5,4.0,2377,7834,1.0,49,1,6,1.463,986000.0
5,3.5,2468,11774,2.0,82,3,9,0.515,1102000.0
4,4.0,2251,7683,2.0,44,5,5,-0.865,865000.0
1,1.0,499,1863,1.0,43,5,6,-0.585,402000.0
6,3.5,2826,12556,1.0,16,3,9,-1.703,1179000.0
3,2.5,1462,6999,1.5,70,1,6,-0.314,671000.0
4,4.0,1145,9043,2.0,28,2,7,-0.483,757000.0
3,3.0,912,2692,1.5,17,3,5,-1.325,584000.0
2,2.0,895,4181,1.0,33,4,4,0.777,619000.0
6,5.0,2759,6820,3.0,54,5,7,1.277,1245000.0
5,4.5,2284,8622,1.0,24,1,6,-0.027,1065000.0
4,3.0,1955,12048,3.0,32,2,12,-0.306,1212000.0
3,3.0,2135,5624,2.0,29,2,12,0.435,1041000.0
5,4.0,1869,9866,2.0,53,5,7,-0.02,841000.0
4,4.0,1892,7963,2.0,64,1,6,-1.082,770000.0
3,2.5,1641,3012,1.0,60,2,7,-0.653,764000.0
3,2.5,1329,10054,2.0,12,2,9,-0.296,811000.0
2,2.0,1208,5060,2.0,31,1,7,0.248,692000.0
1,1.0,400,2638,2.0,58,4,10,0.009,589000.0
4,4.0,2323,9771,1.0,19,3,12,0.21,1190000.0
6,5.0,2396,18192,1.0,6,3,7,-1.525,1026000.0
1,1.0,1459,4943,1.0,28,5,5,0.665,682000.0
6,4.5,2590,10825,1.5,61,3,5,0.003,1028000.0
5,4.0,2558,16455,1.5,59,2,11,2.553,1239000.0
2,1.5,1184,4421,2.0,11,2,7,-0.388,648000.0
4,2.5,1891,7315,2.0,60,5,6,0.323,883000.0
1,0.5,675,5377,2.0,17,3,9,2.829,700000.0
5,4.5,2286,11685,1.0,66,1,12,0.194,1206000.0
5,4.5,2345,14025,1.5,50,4,7,-0.068,995000.0
3,3.0,1315,7472,1.0,11,4,6,-0.987,671000.0
1,0.5,812,5588,1.0,31,2,11,1.528,760000.0
6,4.5,2417,17165,1.0,73,3,4,-1.159,890000.0
