ram_gb,storage_gb,screen_size,weight_kg,cpu_score,gpu_score,age_years,price
16,256,12.0,1.8,5381,3209,3,912.0
32,1024,12.5,1.38,12751,13736,5,1990.0
16,256,14.8,2.06,3634,7953,5,1094.0
8,1024,16.9,2.41,8392,2067,2,1084.0
8,1024,14.0,2.31,22301,19385,1,2068.0
32,2048,12.3,1.28,13646,16336,2,2342.0
4,256,14.7,1.18,8757,7103,1,1045.0
32,256,17.0,2.02,19558,3632,4,1792.0
16,512,16.5,2.32,17452,12325,5,1704.0
8,2048,16.7,2.0,5383,19942,5,1494.0
8,1024,13.6,1.5,3510,5758,1,1310.0
8,256,12.7,1.07,13581,1463,5,935.0
8,1024,16.5,2.48,13101,3507,5,1076.0
8,1024,16.0,1.31,14561,15261,4,1739.0
16,2048,16.4,2.14,17139,18581,3,2322.0
16,1024,13.5,1.96,7323,3473,2,1343.0
64,1024,12.8,1.8,17051,770,2,2589.0
16,1024,12.5,1.58,17125,11031,4,1765.0
16,512,16.5,1.98,10138,10979,1,1828.0
64,256,16.8,1.29,8560,7757,1,2636.0
8,1024,13.3,1.71,20651,4324,2,1350.0
8,256,16.5,2.19,15558,17567,1,1693.0
16,512,13.4,1.5,18457,16787,0,1914.0
4,2048,13.8,1.44,15577,5841,1,1296.0
4,512,14.6,2.05,13326,4554,5,1013.0
16,512,12.4,1.57,19473,14541,4,1639.0
8,2048,12.7,1.48,4700,8564,2,1333.0
32,256,12.7,1.51,23566,18835,5,2316.0
16,2048,12.6,1.51,18733,17445,3,1940.0
16,1024,14.2,2.1,23374,1751,4,1440.0
8,512,11.6,1.18,6386,6080,0,1173.0
8,512,15.9,2.03,14046,14424,1,1566.0
4,256,12.1,1.98,14402,1575,0,996.0
8,1024,13.8,2.02,8781,2135,3,1100.0
16,256,15.0,1.54,17600,5539,4,1389.0
8,256,11.9,0.9,8329,15686,2,1486.0
8,1024,13.6,1.72,16759,19457,2,1676.0
4,512,14.5,2.23,20303,17210,4,1500.0
32,512,14.5,2.03,22110,5019,0,1937.0
8,1024,16.6,1.49,19725,3215,2,1451.0
8,256,15.9,0.98,13218,4002,2,1161.0
32,256,11.8,1.28,20469,17742,1,2431.0
16,512,16.2,2.44,15351,14080,2,1846.0
32,256,14.5,1.42,21336,9044,1,2193.0
16,512,15.3,1.73,18054,11092,4,1814.0
16,1024,12.0,1.05,15430,6514,0,1798.0
4,512,14.0,2.39,16968,14593,0,1625.0
16,512,15.4,1.59,22744,19327,2,2000.0
16,256,16.0,1.27,24946,13166,0,1896.0
32,256,16.1,2.39,17457,7992,2,1978.0
8,1024,12.4,1.32,3297,6035,4,900.0
16,256,16.2,2.05,16890,4590,2,1416.0
4,512,14.6,1.47,15149,15396,4,1329.0
8,256,15.2,1.49,21414,6929,3,1191.0
8,2048,16.4,1.45,20687,9522,3,1928.0
8,256,13.6,1.35,17345,18143,5,1327.0
32,512,16.8,1.84,7678,19092,3,2077.0
8,512,16.6,1.52,19892,19690,4,1828.0
64,1024,16.1,2.33,6143,679,5,2090.0
16,2048,13.4,1.71,23456,9374,3,1982.0
16,1024,14.3,1.99,9223,8140,1,1651.0
16,512,12.1,1.04,11699,10128,2,1441.0
16,256,15.8,2.44,15716,10525,0,1607.0
8,1024,16.6,1.69,19523,12162,1,1725.0
8,2048,12.0,1.38,4370,12092,1,1249.0
8,256,15.7,2.15,9567,16872,3,1584.0
8,1024,15.4,1.91,12218,13028,0,1665.0
4,256,11.2,1.15,13702,677,0,890.0
64,512,16.8,1.88,13651,6382,0,2766.0
8,512,14.0,2.19,22218,16015,0,1867.0
16,512,12.7,1.66,15894,15424,5,1703.0
8,2048,11.2,0.96,24418,19464,3,1805.0
32,512,15.9,1.72,19924,11155,3,2065.0
16,512,13.1,1.3,23846,8404,0,1615.0
4,1024,14.2,1.46,16935,19670,3,1724.0
32,512,12.2,1.6,19667,9036,5,1817.0
32,512,14.8,2.24,15452,3572,1,2119.0
32,512,13.5,1.15,21664,19176,4,2264.0
16,512,16.1,2.4,8914,8352,2,1410.0
4,256,15.2,2.28,22459,8434,3,1224.0
8,256,15.5,1.9,12349,15345,4,1478.0
32,256,12.6,1.31,16418,7846,5,1506.0
16,512,11.4,1.66,7621,17699,2,1648.0
8,256,16.5,1.46,8357,17256,0,1688.0
32,1024,16.9,2.64,10500,4087,5,1623.0
16,1024,15.1,1.4,3389,9727,1,1435.0
16,512,16.8,2.13,21463,2042,5,1503.0
8,512,15.4,2.19,19745,13116,3,1753.0
8,1024,14.8,2.25,14535,8647,1,1423.0
