exam1,exam2,admitted
76.13,73.79,1
49.33,60.89,0
39.82,68.46,0
20.0,74.84,0
59.35,87.94,1
84.96,68.08,1
65.53,89.16,1
73.19,56.49,0
81.37,62.26,1
50.89,42.2,0
100.0,79.15,1
50.97,49.48,0
70.98,49.48,1
100.0,79.47,1
63.17,57.48,0
66.83,53.95,0
56.81,81.25,1
70.35,63.05,1
30.97,80.73,0
54.65,59.56,0
92.11,77.63,1
68.38,83.26,1
61.15,67.32,1
70.97,94.78,1
71.63,59.66,1
67.43,62.61,1
74.26,67.27,0
38.45,82.09,0
74.46,61.4,1
54.22,59.01,1
77.57,70.06,1
64.66,86.0,1
49.03,59.33,0
63.85,45.56,0
48.89,63.91,0
81.2,75.98,1
64.54,57.32,1
78.65,67.99,1
47.16,36.1,0
90.91,66.34,1
60.18,67.64,0
86.84,75.96,1
78.66,70.95,1
47.38,78.35,1
70.17,50.09,0
56.32,76.56,1
71.55,39.58,0
87.92,56.45,1
76.02,83.69,1
82.09,79.62,1
46.25,36.35,0
68.26,75.41,1
70.75,59.11,1
82.42,53.55,1
55.09,69.27,1
74.1,68.06,1
71.87,88.31,1
40.61,42.93,0
48.36,59.15,1
72.11,63.72,0
46.17,36.55,0
45.37,84.77,1
79.32,94.1,1
69.57,56.0,1
61.24,72.1,1
66.69,61.69,1
58.53,70.33,1
56.41,55.19,0
57.63,79.3,1
71.18,47.35,1
86.14,87.81,1
57.47,71.7,0
63.9,100.0,1
61.51,39.58,0
44.84,64.47,0
69.03,45.43,1
78.87,63.76,1
51.5,72.96,0
78.33,51.29,1
55.85,43.04,0
83.42,38.26,0
84.45,69.53,1
58.87,86.43,1
32.98,84.75,1
59.43,66.54,0
42.74,50.61,0
43.96,60.19,0
60.95,41.87,1
86.77,40.78,0
63.53,83.06,1
61.49,61.55,0
35.39,71.03,0
55.3,61.62,0
42.68,87.2,1
73.33,89.0,1
56.55,53.58,0
64.3,60.14,1
64.73,55.2,0
62.0,87.08,1
80.24,85.95,1
